203,00:29:18.180 07/13/2019,2061:520176.180,3.26,117.16,-2453707.060,-4767176.580
204,00:29:20.000 07/13/2019,2061:520176.540,3.53,103.72,-2453706.110,-4767177.470
205,00:29:18.960 07/13/2019,2061:520176.960,3.93,90.42,-2453704.800,-4767178.490
206,00:29:21.000 07/13/2019,2061:520177.380,4.38,81.65,-2453703.250,-4767179.460
207,00:29:19.860 07/13/2019,2061:520177.860,4.84,76.59,-2453701.290,-4767180.450
208,00:29:22.000 07/13/2019,2061:520178.340,5.33,72.53,-2453699.060,-4767181.360
209,00:29:20.820 07/13/2019,2061:520178.820,5.77,69.42,-2453696.650,-4767182.210
210,00:29:23.000 07/13/2019,2061:520179.240,6.08,66.93,-2453694.440,-4767182.900
211,00:29:21.660 07/13/2019,2061:520179.660,6.31,64.31,-2453692.120,-4767183.560
212,00:29:22.080 07/13/2019,2061:520180.080,6.52,61.48,-2453689.730,-4767184.150
213,00:29:24.000 07/13/2019,2061:520180.500,6.75,57.82,-2453687.290,-4767184.630
214,00:29:22.920 07/13/2019,2061:520180.920,7.07,53.75,-2453684.740,-4767184.940
215,00:29:23.280 07/13/2019,2061:520181.280,7.17,50.31,-2453682.530,-4767185.050
216,00:29:23.640 07/13/2019,2061:520181.640,7.38,47.78,-2453680.320,-4767185.100
217,00:29:24.000 07/13/2019,2061:520182.000,7.47,45.78,-2453678.110,-4767185.080
218,00:29:26.000 07/13/2019,2061:520182.420,7.57,44.03,-2453675.550,-4767185.030
219,00:29:24.780 07/13/2019,2061:520182.780,7.46,42.85,-2453673.370,-4767184.900
220,00:29:25.140 07/13/2019,2061:520183.140,7.47,42.38,-2453671.260,-4767184.780
221,00:29:27.000 07/13/2019,2061:520183.500,7.36,42.63,-2453669.190,-4767184.670
222,00:29:25.860 07/13/2019,2061:520183.860,7.26,43.51,-2453667.130,-4767184.580
223,00:29:26.220 07/13/2019,2061:520184.220,7.12,44.21,-2453665.110,-4767184.500
224,00:29:28.000 07/13/2019,2061:520184.580,7.04,44.84,-2453663.080,-4767184.460
225,00:29:27.000 07/13/2019,2061:520185.000,6.89,45.36,-2453660.800,-4767184.410
226,00:29:29.000 07/13/2019,2061:520185.360,6.77,45.96,-2453658.840,-4767184.410
227,00:29:27.720 07/13/2019,2061:520185.720,6.71,46.58,-2453656.860,-4767184.390
228,00:29:28.140 07/13/2019,2061:520186.140,6.53,47.16,-2453654.590,-4767184.360
229,00:29:28.560 07/13/2019,2061:520186.560,6.33,47.58,-2453652.370,-4767184.330
230,00:29:28.980 07/13/2019,2061:520186.980,6.07,47.96,-2453650.220,-4767184.330
231,00:29:31.000 07/13/2019,2061:520187.400,5.81,48.24,-2453648.140,-4767184.340
232,00:29:29.760 07/13/2019,2061:520187.760,5.58,48.00,-2453646.430,-4767184.320
233,00:29:30.180 07/13/2019,2061:520188.180,5.21,46.47,-2453644.570,-4767184.280
234,00:29:30.600 07/13/2019,2061:520188.600,4.91,42.39,-2453642.870,-4767184.170
235,00:29:30.960 07/13/2019,2061:520188.960,4.65,37.09,-2453641.510,-4767183.940
236,00:29:31.320 07/13/2019,2061:520189.320,4.43,29.76,-2453640.310,-4767183.580
237,00:29:31.680 07/13/2019,2061:520189.680,4.16,21.30,-2453639.330,-4767183.120
